name,label,settlement_id,ward_code,lga_code,children_under5_last_round,consent_to_follow_up
BAN-000001,"BAN-000001  (S. Sule, structure 167)",S01139,W015,LGA01,2,yes
BAN-000002,"BAN-000002  (A. Gani, structure 31)",S02142,W033,LGA03,1,yes
BAN-000003,"BAN-000003  (S. Jibo, structure 68)",S02142,W033,LGA03,3,yes
BAN-000004,"BAN-000004  (Z. Pama, structure 42)",S02142,W033,LGA03,0,yes
BAN-000005,"BAN-000005  (H. Jibo, structure 234)",S02142,W033,LGA03,4,yes
BAN-000006,"BAN-000006  (M. Jibo, structure 76)",S00353,W004,LGA02,2,yes
BAN-000007,"BAN-000007  (S. Lami, structure 69)",S00958,W013,LGA02,2,no
BAN-000008,"BAN-000008  (M. Gani, structure 105)",S00958,W013,LGA02,3,yes
BAN-000009,"BAN-000009  (K. Nura, structure 29)",S01721,W026,LGA03,2,yes
BAN-000010,"BAN-000010  (A. Funo, structure 38)",S01721,W026,LGA03,1,yes
BAN-000011,"BAN-000011  (Y. Musa, structure 35)",S01721,W026,LGA03,1,yes
BAN-000012,"BAN-000012  (M. Oje, structure 207)",S01721,W026,LGA03,1,yes
BAN-000013,"BAN-000013  (S. Wada, structure 53)",S01721,W026,LGA03,3,yes
BAN-000014,"BAN-000014  (F. Ede, structure 126)",S01960,W030,LGA04,1,no
BAN-000015,"BAN-000015  (H. Bala, structure 108)",S00403,W005,LGA02,2,yes
BAN-000016,"BAN-000016  (F. Sule, structure 62)",S00337,W004,LGA02,1,yes
BAN-000017,"BAN-000017  (B. Ede, structure 150)",S00337,W004,LGA02,1,yes
BAN-000018,"BAN-000018  (F. Ede, structure 60)",S02310,W036,LGA04,2,yes
BAN-000019,"BAN-000019  (S. Sule, structure 33)",S00663,W008,LGA01,4,yes
BAN-000020,"BAN-000020  (Y. Bala, structure 8)",S00488,W006,LGA01,1,yes
BAN-000021,"BAN-000021  (U. Jibo, structure 80)",S00340,W004,LGA02,1,no
BAN-000022,"BAN-000022  (B. Ede, structure 20)",S00541,W007,LGA01,2,no
BAN-000023,"BAN-000023  (K. Umar, structure 252)",S00541,W007,LGA01,2,no
BAN-000024,"BAN-000024  (M. Yaro, structure 42)",S01110,W015,LGA01,0,no
BAN-000025,"BAN-000025  (S. Umar, structure 182)",S01110,W015,LGA01,2,yes
BAN-000026,"BAN-000026  (F. Zubi, structure 65)",S01110,W015,LGA01,2,yes
BAN-000027,"BAN-000027  (M. Lami, structure 146)",S00505,W006,LGA01,3,yes
BAN-000028,"BAN-000028  (Z. Zubi, structure 92)",S00505,W006,LGA01,4,yes
BAN-000029,"BAN-000029  (I. Dogo, structure 93)",S00505,W006,LGA01,4,yes
BAN-000030,"BAN-000030  (B. Wada, structure 154)",S00505,W006,LGA01,3,yes
BAN-000031,"BAN-000031  (I. Dogo, structure 32)",S00505,W006,LGA01,3,yes
BAN-000032,"BAN-000032  (S. Sule, structure 88)",S00505,W006,LGA01,3,yes
BAN-000033,"BAN-000033  (U. Umar, structure 23)",S01861,W029,LGA04,2,yes
BAN-000034,"BAN-000034  (F. Umar, structure 180)",S01861,W029,LGA04,1,no
BAN-000035,"BAN-000035  (H. Nura, structure 152)",S01861,W029,LGA04,4,no
BAN-000036,"BAN-000036  (U. Isa, structure 60)",S01861,W029,LGA04,4,yes
BAN-000037,"BAN-000037  (Z. Gani, structure 81)",S00987,W013,LGA02,2,yes
BAN-000038,"BAN-000038  (Y. Jibo, structure 156)",S00987,W013,LGA02,0,yes
BAN-000039,"BAN-000039  (U. Bala, structure 81)",S01013,W014,LGA01,2,yes
BAN-000040,"BAN-000040  (B. Kabo, structure 15)",S01630,W023,LGA03,2,yes
BAN-000041,"BAN-000041  (K. Ede, structure 239)",S00034,W001,LGA01,0,yes
BAN-000042,"BAN-000042  (F. Cham, structure 190)",S00034,W001,LGA01,3,yes
BAN-000043,"BAN-000043  (M. Rabi, structure 53)",S00034,W001,LGA01,3,no
BAN-000044,"BAN-000044  (K. Haru, structure 59)",S00034,W001,LGA01,3,yes
BAN-000045,"BAN-000045  (R. Lami, structure 1)",S01826,W028,LGA04,2,yes
BAN-000046,"BAN-000046  (I. Rabi, structure 42)",S01826,W028,LGA04,2,no
BAN-000047,"BAN-000047  (Z. Umar, structure 41)",S02130,W033,LGA03,3,yes
BAN-000048,"BAN-000048  (K. Musa, structure 67)",S02237,W035,LGA04,0,no
BAN-000049,"BAN-000049  (H. Jibo, structure 159)",S02237,W035,LGA04,1,yes
BAN-000050,"BAN-000050  (H. Kabo, structure 8)",S02237,W035,LGA04,0,yes
BAN-000051,"BAN-000051  (I. Umar, structure 256)",S02237,W035,LGA04,3,yes
BAN-000052,"BAN-000052  (A. Musa, structure 56)",S02237,W035,LGA04,4,yes
BAN-000053,"BAN-000053  (H. Abu, structure 179)",S01948,W030,LGA04,4,yes
BAN-000054,"BAN-000054  (M. Umar, structure 209)",S01948,W030,LGA04,4,yes
BAN-000055,"BAN-000055  (R. Gani, structure 10)",S01948,W030,LGA04,0,yes
